,Player_name,Span
0,A Kumble,1990-2007
1,J Srinath,1991-2003
2,AB Agarkar,1998-2007
3,Z Khan,2000-2012
4,Harbhajan Singh,1998-2015
5,N Kapil Dev,1978-1994
6,RA Jadeja,2009-2023
7,BKV Prasad,1994-2001
8,Mohammed Shami,2013-2023
9,IK Pathan,2004-2012
10,Kuldeep Yadav,2017-2024
11,M Prabhakar,1984-1996
12,R Ashwin,2010-2023
13,A Nehra,2001-2011
14,SR Tendulkar,1989-2012
15,JJ Bumrah,2016-2023
16,B Kumar,2012-2022
17,RJ Shastri,1981-1992
18,YS Chahal,2016-2023
19,I Sharma,2007-2016
20,Yuvraj Singh,2000-2017
21,UT Yadav,2010-2018
22,SC Ganguly,1992-2007
23,V Sehwag,1999-2013
24,MM Patel,2006-2011
25,HH Pandya,2016-2023
26,RMH Binny,1980-1987
27,P Kumar,2007-2012
28,S Sreesanth,2005-2011
29,S Madan Lal,1974-1987
30,Mohammed Siraj,2019-2024
31,RP Singh,2005-2011
32,SB Joshi,1996-2001
33,RR Singh,1989-2001
34,C Sharma,1983-1994
35,Maninder Singh,1983-1993
36,SN Thakur,2017-2023
37,A Mishra,2003-2016
38,SLV Raju,1990-1996
39,AR Patel,2014-2024
40,DS Mohanty,1997-2001
41,N Chopra,1998-2000
42,M Amarnath,1975-1989
43,R Vinay Kumar,2010-2013
44,M Kartik,2002-2007
45,SK Raina,2005-2018
46,RR Powar,2004-2007
47,L Balaji,2002-2009
48,YK Pathan,2008-2012
49,PP Chawla,2007-2011
50,MM Sharma,2013-2015
51,Arshad Ayub,1987-1990
52,M Prasidh Krishna,2021-2023
53,RK Chauhan,1993-1997
54,KM Jadhav,2014-2020
55,K Srikkanth,1981-1992
56,A Kuruvilla,1997-1997
57,Harvinder Singh,1997-2001
58,ND Hirwani,1988-1992
59,DR Doshi,1980-1982
60,Washington Sundar,2017-2024
61,SK Sharma,1988-1990
62,PP Ojha,2008-2012
63,STR Binny,2014-2015
64,A Jadeja,1992-2000
65,DS Kulkarni,2014-2016
66,HH Kanitkar,1997-2000
67,R Vijay Bharadwaj,1999-2002
68,DL Chahar,2018-2022
69,BS Sandhu,1982-1984
70,KK Ahmed,2018-2019
71,L Sivaramakrishnan,1985-1987
72,SM Patil,1980-1986
73,KD Ghavri,1975-1981
74,AK Sharma,1988-1993
75,D Mongia,2001-2007
76,Umran Malik,2022-2023
77,SA Ankola,1989-1997
78,Arshdeep Singh,2022-2024
79,M Azharuddin,1985-2000
80,AB Dinda,2010-2013
81,AS Wassan,1990-1991
82,NM Kulkarni,1997-1998
83,VR Aaron,2011-2014
84,RR Kulkarni,1983-1987
85,G Sharma,1985-1987
86,RL Sanghvi,1998-1998
87,JD Unadkat,2013-2023
88,S Sriram,2000-2004
89,Avesh Khan,2022-2023
90,T Kumaran,1999-2000
91,RG Sharma,2007-2024
92,NS Yadav,1986-1987
93,AR Kapoor,1995-2000
94,S Abid Ali,1974-1975
95,AK Patel,1984-1985
96,BB Sran,2016-2016
97,KBJ Azad,1980-1986
98,BS Bedi,1974-1979
99,SB Bangar,2002-2004
